Page;product;experimental;unreleased;season;alternateRecipe;mainRecipe;recipeName;craftedIn;avgPower;inCraftBench;inWorkShop;researchTier;producedIn;craftingTime;craftingClicks;productCount;productsPerMinute;product2;productCount2;productsPerMinute2;product3;productCount3;productsPerMinute3;product4;productCount4;productsPerMinute4;quantity1;ingredient1;quantity2;ingredient2;quantity3;ingredient3;quantity4;ingredient4;quantity5;ingredient5;quantity6;ingredient6;quantity7;ingredient7;quantity8;ingredient8;quantity9;ingredient9;quantity10;ingredient10
"Adaptive Control Unit";"Adaptive Control Unit";0;0;;0;0;"Adaptive Control Unit";Manufacturer;;0;0;"[[Tier 5]] - Industrial Manufacturing";;120;;2;1;;;0;;;0;;;0;15;"Automated Wiring";10;"Circuit Board";2;"Heavy Modular Frame";2;Computer;;;;;;;;;;;;
"AI Limiter";"AI Limiter";0;0;;0;0;"AI Limiter";Assembler;;1;0;"[[Caterium Research]] - AI Limiter";;12;6;1;5;;;0;;;0;;;0;5;"Copper Sheet";20;Quickwire;;;;;;;;;;;;;;;;
"Alclad Aluminum Sheet";"Alclad Aluminum Sheet";0;0;;0;0;"Alclad Aluminum Sheet";Assembler;;1;0;"[[Tier 7]] - Bauxite Refinement";;6;6;3;30;;;0;;;0;;;0;3;"Aluminum Ingot";1;"Copper Ingot";;;;;;;;;;;;;;;;
"Alien DNA Capsule";"Alien DNA Capsule";0;0;;0;0;"Alien DNA Capsule";Constructor;;1;0;"[[Alien Organisms]] - Bio-Organic Properties";;6;4;1;10;;;0;;;0;;;0;1;"Alien Protein";;;;;;;;;;;;;;;;;;
"Alien Protein";"Alien Protein";0;0;;0;0;"Hog Protein";Constructor;;1;0;"[[Alien Organisms]] - Hog Research";;3;2;1;20;;;0;;;0;;;0;1;"Hog Remains";;;;;;;;;;;;;;;;;;
"Alien Protein";"Alien Protein";0;0;;0;0;"Spitter Protein";Constructor;;1;0;"[[Alien Organisms]] - Spitter Research";;3;2;1;20;;;0;;;0;;;0;1;"Plasma Spitter Remains";;;;;;;;;;;;;;;;;;
"Alien Protein";"Alien Protein";0;0;;0;0;"Hatcher Protein";Constructor;;1;0;"[[Alien Organisms]] - Hatcher Research";;3;2;1;20;;;0;;;0;;;0;1;"Hatcher Remains";;;;;;;;;;;;;;;;;;
"Alien Protein";"Alien Protein";0;0;;0;0;"Stinger Protein";Constructor;;1;0;"[[Alien Organisms]] - Stinger Research";;3;2;1;20;;;0;;;0;;;0;1;"Stinger Remains";;;;;;;;;;;;;;;;;;
"Alumina Solution";"Alumina Solution";0;0;;0;0;"Alumina Solution";Refinery;;0;0;"[[Tier 7]] - Bauxite Refinement";;6;;12;120;Silica;5;50;;;0;;;0;12;Bauxite;18;Water;;;;;;;;;;;;;;;;
"Alumina Solution";"Alumina Solution";0;0;;0;0;"Unpackage Alumina Solution";Packager;;0;0;"[[Tier 7]] - Bauxite Refinement&lt;br&gt;''[[Tier 5]] - Alternative Fluid Transport''";;1;;2;120;"Empty Canister";2;120;;;0;;;0;2;"Packaged Alumina Solution";;;;;;;;;;;;;;;;;;
"Alumina Solution";"Alumina Solution";0;0;;1;0;"Sloppy Alumina";Refinery;;0;0;"[[Tier 7]] - Bauxite Refinement";;3;;12;240;;;0;;;0;;;0;10;Bauxite;10;Water;;;;;;;;;;;;;;;;
"Aluminum Casing";"Aluminum Casing";0;0;;0;0;"Aluminum Casing";Constructor;;1;0;"[[Tier 7]] - Bauxite Refinement";;2;;2;60;;;0;;;0;;;0;3;"Aluminum Ingot";;;;;;;;;;;;;;;;;;
"Aluminum Casing";"Aluminum Casing";0;0;;1;0;"Alclad Casing";Assembler;;0;0;"[[Tier 7]] - Bauxite Refinement";;8;;15;112.5;;;0;;;0;;;0;20;"Aluminum Ingot";10;"Copper Ingot";;;;;;;;;;;;;;;;
"Aluminum Ingot";"Aluminum Ingot";0;0;;0;0;"Aluminum Ingot";Foundry;;1;0;"[[Tier 7]] - Bauxite Refinement";;4;6;4;60;;;0;;;0;;;0;6;"Aluminum Scrap";5;Silica;;;;;;;;;;;;;;;;
"Aluminum Ingot";"Aluminum Ingot";0;0;;1;0;"Pure Aluminum Ingot";Smelter;;0;0;"[[Tier 7]] - Bauxite Refinement";;2;;1;30;;;0;;;0;;;0;2;"Aluminum Scrap";;;;;;;;;;;;;;;;;;
"Aluminum Scrap";"Aluminum Scrap";0;0;;0;0;"Aluminum Scrap";Refinery;;0;0;"[[Tier 7]] - Bauxite Refinement";;1;;6;360;Water;2;120;;;0;;;0;4;"Alumina Solution";2;Coal;;;;;;;;;;;;;;;;
"Aluminum Scrap";"Aluminum Scrap";0;0;;1;0;"Electrode - Aluminum Scrap";Refinery;;0;0;"[[Tier 7]] - Bauxite Refinement";;4;;20;300;Water;7;105;;;0;;;0;12;"Alumina Solution";4;"Petroleum Coke";;;;;;;;;;;;;;;;
"Aluminum Scrap";"Aluminum Scrap";0;0;;1;0;"Instant Scrap";Blender;;0;0;"[[Tier 7]] - Bauxite Refinement&lt;/br&gt;[[Tier 7]] - Aeronautical Engineering";;6;;30;300;Water;5;50;;;0;;;0;15;Bauxite;10;Coal;5;"Sulfuric Acid";6;Water;;;;;;;;;;;;
Assembler;Assembler;0;0;;0;1;Assembler;"Build Gun";;;;"[[Tier 2]] - Part Assembly";;;;1;;;;;;;;;;;8;"Reinforced Iron Plate";4;Rotor;10;Cable;;;;;;;;;;;;;;
"Assembly Director System";"Assembly Director System";0;0;;0;0;"Assembly Director System";Assembler;;0;0;"[[Tier 7]] - Aeronautical Engineering";;80;;1;0.8;;;0;;;0;;;0;2;"Adaptive Control Unit";1;Supercomputer;;;;;;;;;;;;;;;;
"Automated Wiring";"Automated Wiring";0;0;;0;0;"Automated Wiring";Assembler;;0;0;"[[Tier 4]] - Advanced Steel Production";;24;;1;2.5;;;0;;;0;;;0;1;Stator;20;Cable;;;;;;;;;;;;;;;;
"Automated Wiring";"Automated Wiring";0;0;;1;0;"Automated Speed Wiring";Manufacturer;;0;0;"[[Tier 4]] - Advanced Steel Production&lt;/br&gt;[[Caterium Research]] - A.I. Limiter";;32;;4;7.5;;;0;;;0;;;0;2;Stator;40;Wire;1;"High-Speed Connector";;;;;;;;;;;;;;
"AWESOME Shop";"AWESOME Shop";0;0;;0;1;"AWESOME Shop";"Build Gun";;;;"[[Tier 2]] - Resource Sink Bonus Program";;;;1;;;;;;;;;;;200;Screw;10;"Iron Plate";30;Cable;;;;;;;;;;;;;;
"AWESOME Sink";"AWESOME Sink";0;0;;0;1;"AWESOME Sink";"Build Gun";;;;"[[Tier 2]] - Resource Sink Bonus Program";;;;1;;;;;;;;;;;15;"Reinforced Iron Plate";30;Cable;45;Concrete;;;;;;;;;;;;;;
Battery;Battery;0;0;;0;0;Battery;Blender;;0;0;"[[Tier 7]] - Aeronautical Engineering";;3;;1;20;Water;1.5;30;;;0;;;0;2.5;"Sulfuric Acid";2;"Alumina Solution";1;"Aluminum Casing";;;;;;;;;;;;;;
Battery;Battery;0;0;;1;0;"Classic Battery";Manufacturer;;0;0;"[[Tier 7]] - Aeronautical Engineering";;8;;4;30;;;0;;;0;;;0;6;Sulfur;7;"Alclad Aluminum Sheet";8;Plastic;12;Wire;;;;;;;;;;;;
Bauxite;Bauxite;0;0;;0;0;Bauxite;Miner;;0;0;"[[Tier 7]] - Bauxite Refinement";;1;;1;60;;;0;;;0;;;0;;;;;;;;;;;;;;;;;;;;
Beacon;Beacon;0;0;;0;0;Beacon;Manufacturer;;0;1;"[[Tier 1]] - Field Research";;8;2;1;7.5;;;0;;;0;;;0;3;"Iron Plate";1;"Iron Rod";15;Wire;2;Cable;;;;;;;;;;;;
Beacon;Beacon;0;0;;1;0;"Crystal Beacon";Manufacturer;;0;0;"[[Tier 3]] - Basic Steel Production&lt;/br&gt;[[Quartz Research]] - Quartz Crystals";;120;;20;10;;;0;;;0;;;0;4;"Steel Beam";16;"Steel Pipe";1;"Crystal Oscillator";;;;;;;;;;;;;;
Beams;"Beam Connector";0;0;;0;1;"Beam Connector";"Build Gun";;;;"[[AWESOME Shop]] - Structural Beam Pack";;;;1;;;;;;;;;;;2;Concrete;;;;;;;;;;;;;;;;;;
Beams;"Beam Connector Double";0;0;;0;1;"Beam Connector Double";"Build Gun";;;;"[[AWESOME Shop]] - Structural Beam Pack";;;;1;;;;;;;;;;;2;Concrete;;;;;;;;;;;;;;;;;;
Beams;"Beam Support";0;0;;0;1;"Beam Support";"Build Gun";;;;"[[AWESOME Shop]] - Structural Beam Pack";;;;1;;;;;;;;;;;2;Concrete;;;;;;;;;;;;;;;;;;
Beams;"Metal Beam";0;0;;0;1;"Metal Beam";"Build Gun";;;;"[[AWESOME Shop]] - Structural Beam Pack";;;;1;;;;;;;;;;;2;"Steel Beam";;;;;;;;;;;;;;;;;;
Beams;"Painted Beam";0;0;;0;1;"Painted Beam";"Build Gun";;;;"[[AWESOME Shop]] - Structural Beam Pack";;;;1;;;;;;;;;;;2;"Steel Beam";;;;;;;;;;;;;;;;;;
Biomass;Biomass;0;0;;0;0;"Biomass (Leaves)";Constructor;;1;0;"[[Tier 0]] - HUB Upgrade 6";;5;1;5;60;;;0;;;0;;;0;10;Leaves;;;;;;;;;;;;;;;;;;
Biomass;Biomass;0;0;;0;0;"Biomass (Wood)";Constructor;;1;0;"[[Tier 0]] - HUB Upgrade 6";;4;2;20;300;;;0;;;0;;;0;4;Wood;;;;;;;;;;;;;;;;;;
Biomass;Biomass;0;0;;0;0;"Biomass (Mycelia)";Constructor;;1;0;"[[Mycelia Research]] - Mycelia";;4;1;10;150;;;0;;;0;;;0;10;Mycelia;;;;;;;;;;;;;;;;;;
Biomass;Biomass;0;0;;0;0;"Biomass (Alien Protein)";Constructor;;1;0;"[[Alien Organisms]] - Bio-Organic Properties";;4;2;100;1500;;;0;;;0;;;0;1;"Alien Protein";;;;;;;;;;;;;;;;;;
"Biomass Burner";"Biomass Burner";0;0;;0;1;"Biomass Burner";"Build Gun";;;;"[[Tier 0]] - HUB Upgrade 6";;;;1;;;;;;;;;;;15;"Iron Plate";15;"Iron Rod";25;Wire;;;;;;;;;;;;;;
"Black Powder";"Black Powder";0;0;;0;0;"Black Powder";Assembler;;1;1;"[[Sulfur Research]] - Black Powder";;4;2;2;30;;;0;;;0;;;0;1;Coal;1;Sulfur;;;;;;;;;;;;;;;;
"Black Powder";"Black Powder";0;0;;1;0;"Fine Black Powder";Assembler;;0;0;"[[Alternate Recipe]] - Compacted Coal";;16;;4;15;;;0;;;0;;;0;2;Sulfur;1;"Compacted Coal";;;;;;;;;;;;;;;;
"Blade Runners";"Blade Runners";0;0;;0;0;"Blade Runners";"Equipment Workshop";;0;1;"[[Quartz Research]] - Blade Runners";;;20;1;0;;;0;;;0;;;0;20;Silica;3;"Modular Frame";3;Rotor;;;;;;;;;;;;;;
Blender;Blender;0;0;;0;1;Blender;"Build Gun";;;;"[[Tier 7]] - Bauxite Refinement";;;;1;;;;;;;;;;;20;Motor;10;"Heavy Modular Frame";50;"Aluminum Casing";5;"Radio Control Unit";;;;;;;;;;;;
"Blueprint Designer";"Blueprint Designer";1;0;;0;1;"Blueprint Designer";"Build Gun";;;;"[[Tier 4]] - FICSIT Blueprints";;;;1;;;;;;;;;;;15;"Modular Frame";25;Cable;100;Concrete;100;"Steel Beam";;;;;;;;;;;;
Cable;Cable;0;0;;0;0;Cable;Constructor;;1;0;"[[Tier 0]] - HUB Upgrade 2";;2;1;1;30;;;0;;;0;;;0;2;Wire;;;;;;;;;;;;;;;;;;
Cable;Cable;0;0;;1;0;"Coated Cable";Refinery;;0;0;"[[Tier 5]] - Oil Processing";;8;;9;67.5;;;0;;;0;;;0;5;Wire;2;"Heavy Oil Residue";;;;;;;;;;;;;;;;
Cable;Cable;0;0;;1;0;"Insulated Cable";Assembler;;0;0;"[[Tier 5]] - Oil Processing";;12;;20;100;;;0;;;0;;;0;9;Wire;6;Rubber;;;;;;;;;;;;;;;;
Cable;Cable;0;0;;1;0;"Quickwire Cable";Assembler;;0;0;"[[Tier 5]] - Oil Processing&lt;/br&gt;[[Caterium Research]] - Caterium Ingots";;24;;11;27.5;;;0;;;0;;;0;3;Quickwire;2;Rubber;;;;;;;;;;;;;;;;
"Caterium Ingot";"Caterium Ingot";0;0;;0;0;"Caterium Ingot";Smelter;;1;0;"[[Caterium Research]] - Caterium Ingots";;4;4;1;15;;;0;;;0;;;0;3;"Caterium Ore";;;;;;;;;;;;;;;;;;
"Caterium Ingot";"Caterium Ingot";0;0;;1;0;"Pure Caterium Ingot";Refinery;;0;0;"[[Tier 3]] - Coal Power&lt;/br&gt;[[Caterium Research]] - Caterium";;5;;1;12;;;0;;;0;;;0;2;"Caterium Ore";2;Water;;;;;;;;;;;;;;;;
"Caterium Ore";"Caterium Ore";0;0;;0;0;"Caterium Ore";Miner;;0;0;"[[Caterium Research]] - Caterium";;1;;1;60;;;0;;;0;;;0;;;;;;;;;;;;;;;;;;;;
Catwalk;"Catwalk Corner";0;0;;0;1;"Catwalk Corner";"Build Gun";;;;"[[AWESOME Shop]] - Modern Catwalks";;;;1;;;;;;;;;;;2;"Iron Rod";1;"Iron Plate";;;;;;;;;;;;;;;;
Catwalk;"Catwalk Crossing";0;0;;0;1;"Catwalk Crossing";"Build Gun";;;;"[[AWESOME Shop]] - Modern Catwalks";;;;1;;;;;;;;;;;2;"Iron Rod";1;"Iron Plate";;;;;;;;;;;;;;;;
